sensor,file_name,stripe_count,area_ratio,aspect_ratio,curvature,mean_snr,mean_contrast,norm_spacing
SAR,637.png,1,0.00037866571972189345,38.29086255144379,0.02144031568562973,0.125773723565025,0.015373680203250686,0.0
SAR,182.png,15,0.44685055168229937,2.316526980146953,0.03916718886336319,0.682515012909891,0.08101243037230536,0.036053011979473394
SAR,182.png,20,0.5556667859567597,2.013446338408282,0.05635098312152516,0.8458899287205153,0.1001567463695761,0.01573050845078293
SAR,182.png,1,0.0001896294736739631,25.546776391921586,0.02713864306784661,0.9119317253050827,0.1045069231051023,0.0
SAR,182.png,1,0.000351905928668763,9.119226877463731,0.10965824665676076,0.610961838178582,0.07744220875002913,0.0
SAR,182.png,1,9.73543143283212e-05,32.9173365620591,0.027967866706337396,0.6559838976920499,0.0749457788398695,0.0
SAR,282.png,2,0.023347339190508354,10.421051127730243,0.025792084097007083,0.42610450343841955,0.054442341222582784,0.05896670178113144
SAR,282.png,1,0.0003423692289359348,21.562613332856138,0.04637643715282263,0.3806957729116101,0.046785407363017686,0.0
SAR,91.png,34,0.8534182482338295,1.78907331552709,0.0630939498909861,0.6788824753086603,0.0841165886321582,0.02128064084586747
SAR,256.png,2,0.009552954325099505,4.539581555871996,0.04701807626335929,0.8764414491403152,0.1718912448056912,0.0848087198038818
SAR,256.png,3,0.02928543459684141,3.047541248422469,0.04124813083718528,0.3212613051592867,0.048128990333880094,0.03210540338469467
SAR,256.png,5,0.0742589142006036,2.6547528412185915,0.028360463165274668,0.2860393999431431,0.037931829886763475,0.04888376341405147
SAR,256.png,1,0.006022478280720306,34.19049402498689,0.027057069018220217,0.41196797228363047,0.058122858510698615,0.0
SAR,256.png,1,0.00325732145422461,33.039192186688005,0.023264879423073516,0.5610392220675021,0.07833953417293962,0.0
SAR,256.png,1,0.0004175634979721454,20.554701968907505,0.038000000000000006,0.3111421902365623,0.03914742826965453,0.0
SAR,s1a-iw-grd-vv-20210511t114408-20210511t114432-037840-04774f-001.png,6,0.07006178276835184,2.6663551219097807,0.05195611265630329,0.7682961563835381,0.0840037855183036,0.02305422552761243
SAR,s1a-iw-grd-vv-20210511t114408-20210511t114432-037840-04774f-001.png,4,0.03315353452881631,1.6022491740671754,0.04343904781634222,1.0975815118677403,0.10913769123720177,0.03228855266250886
SAR,136.png,1,0.015729898308207813,15.03819430108078,0.06649733913884857,0.2243468796727587,0.03204394429564229,0.0
SAR,136.png,2,0.04219818227189531,5.4113162249108955,0.039953533506034346,0.030267038315939666,0.0041968993692483815,0.0937376182586883
SAR,136.png,1,0.008343506516298171,16.21981912161791,0.06156274664561957,0.11026121913021636,0.014544589353905662,0.0
SAR,136.png,1,0.0026462717774647926,19.247262923654738,0.04183397142590345,0.03164613641136169,0.004511163161393227,0.0
SAR,136.png,4,0.04791029480635256,2.295097475087463,0.09452254496266324,0.2193582335568883,0.031592250258852664,0.031226367654208362
